text,label,case folding,tokenizing,filtering,stemmed
earthquak leav 4 300 dead turkey syria peopl lost entir famili,positif,earthquak leav 4 300 dead turkey syria peopl lost entir famili,"['earthquak', 'leav', '4', '300', 'dead', 'turkey', 'syria', 'peopl', 'lost', 'entir', 'famili']","['earthquak', 'leav', '4', '300', 'dead', 'turkey', 'syria', 'peopl', 'lost', 'entir', 'famili']","['earthquak', 'leav', '4', '300', 'dead', 'turkey', 'syria', 'peopl', 'lost', 'entir', 'famili']"
god pleas help sad,positif,god pleas help sad,"['god', 'pleas', 'help', 'sad']","['god', 'pleas', 'help', 'sad']","['god', 'plea', 'help', 'sad']"
alkhidmat foundat pakistan collabor turkish partner organ respond ground,neutral,alkhidmat foundat pakistan collabor turkish partner organ respond ground,"['alkhidmat', 'foundat', 'pakistan', 'collabor', 'turkish', 'partner', 'organ', 'respond', 'ground']","['alkhidmat', 'foundat', 'pakistan', 'collabor', 'turkish', 'partner', 'organ', 'respond', 'ground']","['alkhidmat', 'foundat', 'pakistan', 'collabor', 'turkish', 'partner', 'organ', 'respond', 'ground']"
syria voic,neutral,syria voic,"['syria', 'voic']","['syria', 'voic']","['syria', 'voic']"
may allah protect turkey syria,positif,may allah protect turkey syria,"['may', 'allah', 'protect', 'turkey', 'syria']","['may', 'allah', 'protect', 'turkey', 'syria']","['may', 'allah', 'protect', 'turkey', 'syria']"
prayer turkey syria lebanon may allah help protect effect merci everyon,positif,prayer turkey syria lebanon may allah help protect effect merci everyon,"['prayer', 'turkey', 'syria', 'lebanon', 'may', 'allah', 'help', 'protect', 'effect', 'merci', 'everyon']","['prayer', 'turkey', 'syria', 'lebanon', 'may', 'allah', 'help', 'protect', 'effect', 'merci', 'everyon']","['prayer', 'turkey', 'syria', 'lebanon', 'may', 'allah', 'help', 'protect', 'effect', 'merci', 'everyon']"
heartbreak news turkey sriya power earthquak hit stay safe everyon,positif,heartbreak news turkey sriya power earthquak hit stay safe everyon,"['heartbreak', 'news', 'turkey', 'sriya', 'power', 'earthquak', 'hit', 'stay', 'safe', 'everyon']","['heartbreak', 'news', 'turkey', 'sriya', 'power', 'earthquak', 'hit', 'stay', 'safe', 'everyon']","['heartbreak', 'news', 'turkey', 'sriya', 'power', 'earthquak', 'hit', 'stay', 'safe', 'everyon']"
hazrat ayesha ra said power 7 8 cypru,neutral,hazrat ayesha ra said power 7 8 cypru,"['hazrat', 'ayesha', 'ra', 'said', 'power', '7', '8', 'cypru']","['hazrat', 'ayesha', 'ra', 'said', 'power', '7', '8', 'cypru']","['hazrat', 'ayesha', 'ra', 'said', 'power', '7', '8', 'cypru']"
turkey,neutral,turkey,['turkey'],['turkey'],['turkey']
earthquak leav 4 300 dead turkey syria,positif,earthquak leav 4 300 dead turkey syria,"['earthquak', 'leav', '4', '300', 'dead', 'turkey', 'syria']","['earthquak', 'leav', '4', '300', 'dead', 'turkey', 'syria']","['earthquak', 'leav', '4', '300', 'dead', 'turkey', 'syria']"
