date,username,text
2/7/2023 11:41,Jyot Jeet,"Earthquake leaves over 4,300 Dead in Turkey and Syria…people have lost their entire families… #earthquake #earthquakeinturkey #Turkey #earthquaketurkey #Syria #syriaearthquake #Turkiye #Turkish"
2/7/2023 12:32,ѕɪʀᴇɴѕ - ᓚᘏᗢ ℒᎯ ℒᎯℕᎯ 𖤍᭄,God please help #Syria and #Turkey this is so sad  #HelpTurkey #Turkiye #Syria #TurkeyEarthquake #Turquie #PrayForTurkey #TurkeyQuake #TurkeyEarthquake #turkey #earthquaketurkey #Syria_earthquake #PrayforSyria
2/7/2023 12:34,𝑴𝒂𝒍𝒂𝒌 𝑨𝒔𝒈𝒉𝒂𝒓,Alkhidmat Foundation Pakistan @AlkhidmatOrgin collaboration with Turkish partner organizations is responding on the ground.🇵🇰🇹🇷 #earthquaketurkey #Turkiye #deprem
2/7/2023 12:34,Jhoa Vall,BE SYRIA’S VOICE  #HelpSyria #PrayforSyria #earthquake #Syria #syriaearthquake #Lift_sanctions_against_Syria #LiftTheSanctions #earthquaketurkey
2/7/2023 12:35,H Sakib shaikh,"May Allah protect Turkey and syria. 
#earthquaketurkey https://t.co/GgirpYo4AY"
2/7/2023 12:37,Tajweez Properties PVT LTD.,Prayers for Turkey 🇹🇷 Syria 🇸🇾 Lebanon 🇱🇧 May Allah help and protect those who are effected and have mercy on everyone 🤲 https://t.co/4TdP8B8oCu
2/7/2023 12:39,LogicaBeans,"Heartbreaking news from Turkey and Sriya after a powerful earthquake hit.

Stay safe everyone 🙏

#EarthquakeTurkey #StaySafe #Turkish #Sriya"
2/7/2023 12:44,Jinnah's Views,"Hazrat Ayesha RA Said 🙏

 #هزة_أرضية
Powerful 7.8 #earthquake #earthquaketurkey Cyprus #Turkey #TurkeyQuake… https://t.co/WKFyyd56PS"
2/7/2023 12:46,Nature,"Turkey #earthquaketurkey
#Tsunami #PrayForTurkey #earthquake #earthquakeinturkey #earthquaketurkey #Syria… https://t.co/ec3QmfvHqR"
2/7/2023 12:58,Pravin. S. Survase,"Earthquake leaves over 4,300 Dead in Turkey and Syria… #earthquake #earthquakeinturkey #Turkey #earthquaketurkey #Syria #syriaearthquake #Turkiye #TurkishEarthquake https://t.co/xqwFJTnHjS"
2/7/2023 12:59,"Kenyan Diplomat, H.S.C","Heart and soul are with the people of Turkey 🇹🇷 #Turkey #earthquaketurkey
#Tsunami #PrayForTurkey #earthquake… https://t.co/d9jqB3mHR3"
2/7/2023 12:59,Erik Korsas,"Help is arriving and what happiness these #Children must feel!

#help #HelpTurkey #HelpTurkiye #earthquakeinturkey… https://t.co/B34TQFTVI2"
2/7/2023 13:07,Ol'ka greene,There are no words... So many people died (( there was not even a warning... #turkeyearthquake2023 #TurkeySyriaEarthquake #GlobalCrisis #CreativeSociety #SurvivalinUnity
2/7/2023 13:11,Ansharusyariah,Press Release Jamaah Ansharu Syariah About Massive Earthquake Disaster in Turkey and Syria https://t.co/tn0tKc4aGI… https://t.co/UTIKzbEouh
2/7/2023 13:12,The News Defender,"Death toll from the Turkey earthquake has reached 2921. The number of injured is 15,834, Turkey Emergency Service. Number of deaths in Syria is 1451. While the number of injured is 3531. #Turkey #Turkiye #Syria #PrayForTurkey #earthquaketurkey #زلزال #syriaearthquake"
2/7/2023 13:15,The Statesman,"“Our country, promptly on its part, sent assistance as NDRF search & rescue teams……..”: RS Chairman Jagdeep Dhankhar on the tragic earthquake in Turkey & Syria.  #thestatesmanspeaks #earthquake #Turkey #Syria #earthquaketurkey #rescueoperation #India"
2/7/2023 13:25,JAKE 🇦🇺,"It’s very sad to hear 4,300 people have lost their lives due to the Earthquakes that happened in Turkey & Syria, my thoughts & prayers go out to everyone who have been doing it tough losing their loved ones 😢 💔 #earthquake #earthquakeinturkey #earthquaketurkey #syriaearthquak"
2/7/2023 13:29,Akram Siddique,"@abierkhatib May Allah protect Turkey and syria. 
#earthquaketurkey"
2/7/2023 13:29,Daii,"Pray for Turkey &amp; Syria 🙏🏼   #earthquaketurkey
#earthquakesyria"
2/7/2023 13:35,Abbas Mastan,🤲😢Ya Allah Reham for the people of #Turkiye #Lebanon and #Syria. May Allah protect our Muslim brothers and sisters.… https://t.co/u7c3IXcGSy
2/7/2023 13:39,eylül,"Turkey has declared a level 4 state of alert, which means an international call for help. Currently, 1 USD=18.83 TRY, and 1 EUR=20. 18 TRY, so even the slightest help can have a huge impact. We all need your help, no matter how big or little. Please help Turkey. #earthquaketurkey"
2/7/2023 13:41,Quadir Choudhary عبدالقادر👑,"May Allah protect Turkey and syria. 
#earthquaketurkey"
2/7/2023 13:42,Al-Hadi Associates and Builders,"#PrayForTurkey  ""Pray for Turkey, Syria & Lebanon."" #alhadiassociates #earthquake #earthquakeinturkey #PrayforSyria  #PrayForLebanon #turkeyearthquake2023 #Istanbul #earthquaketurkey #Turkey #syriaearthquake #Syria"
2/7/2023 13:46,TrendingTopics,Earthquake measuring 7.0 on the Richter scale strikes eastern Turkey 🌏⚠️ Stay safe everyone! #earthquaketurkey
2/7/2023 13:52,👻,Now there is news for #Pakistan #India #Afghanistan and near regions - May Allah keep every one safe and protected all over the World 🌍 - Ameen 🙏🏻 #earthquake #earthquakeinturkey #earthquaketurkey
2/7/2023 13:56,Mercy Soy,The next step is taking action—putting systems in place to respond to impacts we are experiencing today as we prepare for an uncertain tomorrow. #climate #ClimateActionNow #PACJA #KPCG #adaptation #Mitigation #earthquaketurkey
2/7/2023 13:57,🆘🎗️,PLEASE HELP #Turkey #TurkeyEarthquake #Turkiye #Grammys2023 #BTS #BBTitans #AFAD #deprem #NBA  #help #helpturkey… https://t.co/GMrFwPsspD
2/7/2023 13:58,Dana,"@CYworldteam Good morning with hope Team 💚🙏🍀
#CanYaman #earthquakeTurkey #CzechFansCanYaman https://t.co/bhbIURHRZc"
2/7/2023 14:02,Mohsin Khan,A clips during the rescue work in Turkey earthquake😔 #deprem #HelpTurkey #Turkiye #Gaziantep #Syria… https://t.co/LBM4UiJPgQ
2/7/2023 14:07,Purple Foundation,Purple Foundation extends its heartfelt condolences and solidarity to the government and people of Turkey and Syria in the aftermath of the devastating earthquake and tragic loss of life. #Turkey #Syria #Earthquaketurkey #PrayForTurkey #PrayforSyria
2/7/2023 14:07,Muhammad Anas,Our hearts go out to the people affected by the devastating earthquake in Turkey. The loss of life and damage to communities is tragic.  Sending love and support to those in need and hoping for a swift recovery.  #PrayForTurkey #earthquaketurkey #earthquake #Turkey
