tweet_final,Positive,Negative,Neutral,Compound,Sentiment
earthquak leav 4 300 dead turkey syria peopl lost entir famili,0.0,0.452,0.548,-0.765,negatif
god pleas help sad,0.539,0.348,0.112,0.1779,positif
alkhidmat foundat pakistan collabor turkish partner organ respond ground,0.0,0.0,1.0,0.0,neutral
syria voic,0.0,0.0,1.0,0.0,neutral
may allah protect turkey syria,0.394,0.0,0.606,0.3818,positif
prayer turkey syria lebanon may allah help protect effect merci everyon,0.371,0.0,0.629,0.6486,positif
heartbreak news turkey sriya power earthquak hit stay safe everyon,0.199,0.253,0.548,-0.2023,negatif
hazrat ayesha ra said power 7 8 cypru,0.0,0.0,1.0,0.0,neutral
turkey,0.0,0.0,1.0,0.0,neutral
earthquak leav 4 300 dead turkey syria,0.0,0.462,0.538,-0.6486,negatif
heart soul peopl turkey,0.0,0.0,1.0,0.0,neutral
help arriv happi must feel,0.403,0.0,0.597,0.4019,positif
word mani peopl die even warn,0.0,0.57,0.43,-0.6486,negatif
press releas jamaah ansharu syariah massiv earthquak disast turkey syria,0.0,0.0,1.0,0.0,neutral
death toll turkey earthquak reach 2921 number injur 15 834 turkey emerg servic number death syria 1451 number injur 3531,0.187,0.291,0.522,-0.7783,negatif
countri promptli part sent assist ndrf search rescu team rs chairman jagdeep dhankhar tragic earthquak turkey syria,0.0,0.158,0.842,-0.4588,negatif
sad hear 4 300 peopl lost live due earthquak happen turkey syria thought prayer go everyon tough lose love one,0.151,0.345,0.504,-0.5267,negatif
may allah protect turkey syria,0.394,0.0,0.606,0.3818,positif
pray turkey syria,0.535,0.0,0.465,0.3182,positif
ya allah reham peopl may allah protect muslim brother sister,0.224,0.0,0.776,0.3818,positif
turkey declar level 4 state alert mean intern call help current 1 usd 18 83 tri 1 eur 20 18 tri even slightest help huge impact need help matter big littl pleas help turkey,0.406,0.0,0.594,0.9246,positif
may allah protect turkey syria,0.394,0.0,0.606,0.3818,positif
pray turkey syria lebanon,0.434,0.0,0.566,0.3182,positif
earthquak measur 7 0 richter scale strike eastern turkey stay safe everyon,0.234,0.121,0.645,0.34,positif
news near region may allah keep everi one safe protect world ameen,0.355,0.0,0.645,0.6705,positif
next step take action put system place respond impact experienc today prepar uncertain tomorrow,0.0,0.145,0.855,-0.296,negatif
pleas help,0.73,0.0,0.27,0.4019,positif
good morn hope team,0.744,0.0,0.256,0.7003,positif
clip rescu work turkey earthquak,0.0,0.0,1.0,0.0,neutral
purpl foundat extend heartfelt condol solidar govern peopl turkey syria aftermath devast earthquak tragic loss life,0.231,0.236,0.533,-0.0258,negatif
heart go peopl affect devast earthquak turkey loss life damag commun tragic send love support need hope swift recoveri,0.388,0.177,0.435,0.743,positif
aftershock follow deadli earthquak turkey syria continu sever day sever week mayb even sever month say expert,0.0,0.0,1.0,0.0,neutral
hour sinc terribl earthquak countri thousand peopl rubbl govern author help us silenc us whole world hear voic help,0.241,0.0,0.759,0.6597,positif
heartbreak moment rescu child without famili,0.0,0.425,0.575,-0.5719,negatif
want save peopl,0.818,0.0,0.182,0.5423,positif
turkey rescu worker struggl death toll pass 4400 earthquak,0.0,0.328,0.672,-0.5994,negatif
massiv destruct turkey syria,0.0,0.531,0.469,-0.5267,negatif
aftershock,0.0,0.0,1.0,0.0,neutral
afghanistan pakistan india china could next meet 5 8 magnitud earthquak india epicent may allah almighti protect,0.157,0.0,0.843,0.3818,positif
unfortun peopl suffer die solut avoid climat catastroph,0.0,0.658,0.342,-0.8625,negatif
due terribl earthquak turkey sham 2000 peopl die far tri difficult time turkey,0.0,0.368,0.632,-0.7506,negatif
may allah help protect,0.726,0.0,0.274,0.6486,positif
begin,0.0,0.0,1.0,0.0,neutral
