text,label
earthquak leav 4 300 dead turkey syria peopl lost entir famili,positif
god pleas help sad,positif
alkhidmat foundat pakistan collabor turkish partner organ respond ground,neutral
syria voic,neutral
may allah protect turkey syria,positif
prayer turkey syria lebanon may allah help protect effect merci everyon,positif
heartbreak news turkey sriya power earthquak hit stay safe everyon,positif
hazrat ayesha ra said power 7 8 cypru,neutral
turkey,neutral
earthquak leav 4 300 dead turkey syria,positif
heart soul peopl turkey,neutral
help arriv happi must feel,positif
word mani peopl die even warn,negatif
press releas jamaah ansharu syariah massiv earthquak disast turkey syria,negatif
death toll turkey earthquak reach 2921 number injur 15 834 turkey emerg servic number death syria 1451 number injur 3531,positif
countri promptli part sent assist ndrf search rescu team rs chairman jagdeep dhankhar tragic earthquak turkey syria,negatif
sad hear 4 300 peopl lost live due earthquak happen turkey syria thought prayer go everyon tough lose love one,positif
may allah protect turkey syria,positif
pray turkey syria,positif
ya allah reham peopl may allah protect muslim brother sister,positif
turkey declar level 4 state alert mean intern call help current 1 usd 18 83 tri 1 eur 20 18 tri even slightest help huge impact need help matter big littl pleas help turkey,negatif
may allah protect turkey syria,positif
pray turkey syria lebanon,positif
earthquak measur 7 0 richter scale strike eastern turkey stay safe everyon,neutral
news near region may allah keep everi one safe protect world ameen,neutral
next step take action put system place respond impact experienc today prepar uncertain tomorrow,positif
pleas help,neutral
good morn hope team,positif
clip rescu work turkey earthquak,positif
purpl foundat extend heartfelt condol solidar govern peopl turkey syria aftermath devast earthquak tragic loss life,neutral
heart go peopl affect devast earthquak turkey loss life damag commun tragic send love support need hope swift recoveri,positif
aftershock follow deadli earthquak turkey syria continu sever day sever week mayb even sever month say expert,neutral
hour sinc terribl earthquak countri thousand peopl rubbl govern author help us silenc us whole world hear voic help,positif
heartbreak moment rescu child without famili,negatif
want save peopl,neutral
turkey rescu worker struggl death toll pass 4400 earthquak,negatif
massiv destruct turkey syria,negatif
aftershock,neutral
afghanistan pakistan india china could next meet 5 8 magnitud earthquak india epicent may allah almighti protect,positif
unfortun peopl suffer die solut avoid climat catastroph,negatif
due terribl earthquak turkey sham 2000 peopl die far tri difficult time turkey,negatif
may allah help protect,positif
begin,neutral
ya allah reham turkey syria,positif
heartbreak moment rescu child without famili,negatif
may allah merci prayer turkey countri affect,positif
prayer victim express deepest sympathi famili victim,positif
pray turkey,positif
prayer turkey syria,positif
video devast turkey,neutral
way start day alhamdulilah,neutral
due aftershock build fall morn turkey,neutral
thought prayer peopl deep condol famili victim sincer wish speedi recoveri injur,positif
dog call peopl help owner trap rubbl,positif
send love prayer affect devast,negatif
guess send help israel countri syrian govern activ fight sinc found,positif
rescu team fli,neutral
ya allaha help brother sister need,positif
human,neutral
still honor opposit group take initi break sieg syria syrian,negatif
thousanda peopl die sleep sever earthquak turkey nearbi area earthquak struck around 4 30 hour earli morn mani multi stori apart fell like pack card harsh winter peopl could find shelter protect,negatif
earthquak thought prayer turkey syria lebanon jordan place affect ya allah reham,positif
went gap tour took pic front castl serious devest,neutral
need help alreadi go god,positif
may allah protect turkey syria,positif
one oldest mosqu turkey fall 7 8 magnitud earthquak hit countri today built 1894 fell today,neutral
pray turkey syria,positif
destruct earthquak turkey syria death toll exceed 3 800,negatif
total chao multipl build continu fall peopl continu run panic,negatif
ya allah kareem forgiv us sin,positif
true power 7 8 cypru,neutral
prayer turkey syria lebanon jordan iraq palestin affect place,positif
thousand aid volunt flock airport,neutral
one stori qasem sister wreckag 5 floor build 1 5 day got bodi kid husband buri pregnant twin,neutral
italian air forc loche c 130j reg mm62189 back adana italian aircraft carri team 50 rescuer sever search dog search rescu equip,neutral
video allah help us mani brother know famili see heartbreak account ummah welfar trust staff insid mani women children remain unaccount,neutral
23 million peopl could affect massiv earthquak kill thousand turkey syria world health organ warn tuesday,positif
anoth 7 5 magnitud earthquak turkey prayer brother sister allah protect us,positif
7 7 magnitud earthquak pazarc k district kahramanmara 7 6 magnitud elbistan district team continu work uninterruptedli,neutral
oh god pleas kind yet anoth earthquak strike,positif
watch rescu team seen rejoic rescu children aliv,positif
help hand affect earthquak ravag turkey offer medic aid essenti suppli stand unit turkish peopl,positif
updat devast earthquak turkey,neutral
met wonder peopl today worst circumst stori hope loss sadli,negatif
peopl pakistan express deepest condol sympathi peopl republ turkiy calam,neutral
photo ndrf reach earthquak hit turkey india pledg quick aid,positif
stand affect work provid support road recoveri start clear understand situationteam rubicon assess team way turkey syria earthquak,positif
fact check old video wrongli share footag quak,positif
difficult feel like care us,positif
actual rather genuin intl solidar action friend commerci donat campaign believ well human right peopl regardless,positif
oper dost india send ton relief aid imag courtesi,neutral
readi support ngo help victim earthquak organis could benefit free access paediatr expert pleas regist use app,positif
japan chariti send rescuer aid quak hit turkey syria,neutral
rescu medic team help victim,positif
hizbullah jamaah call solidar earthquak affect peopl,neutral
twitter turkey avail shut caus pe,positif
turkish goalkeep ahmet eyup turkaslan pass away earthquak may allah swt grant jannah depart soul aameen rip,positif
internet access block pleas help lot peopl build,neutral
babi born earthquak rubbl name miracl hospit,neutral
dear thank condol kind word sympathi rkiy,positif
moment woman save catastroph earthquak hit turkey syria,positif
absolut devast damag destruct caus peopl lost live lost love one thought prayer,negatif
thought prayer turkey syria lebanon,positif
send thought prayer peopl turkey syria affect earthquak may find comfort know world stand difficult time,neutral
pray thailand,positif
break turkey syria earthquak death toll pass 15 000 break earthquak death toll turkey 12 391 3 486 dead syria,negatif
indian nation disast respons forc team reach commenc search rescu oper,positif
need electr stove coal stove earthquak zone need intern support,positif
kind power pleas donat,positif
ye donat kind power pleas donat,positif
realli hard time day help want pleas contact,positif
mani disast zone slept car street blanket freez cold,neutral
terribl turkey syria help donat directli help provid shelter aid,positif
kid need red suit turkey watch watch turkey,neutral
spine chill visual catastroph wreckag caus megadisast turkey,neutral
turkey earthquak top 5 heartbreak imag aftermath,negatif
help turkey donat reput ngo spread word pleas,positif
mother six year old daughter rescu aliv overnight collaps hous turk,neutral
world leav us alon turkish nation leav anyon alon leav us alon,neutral
pleas give part exampl field help victim thank,positif
arriv emden str find everyon help pack bring stuff one happiest moment,positif
thank take action share,positif
pleas help syria rkiy time wait earthquak victim shiver cold hunger fear,negatif
jesu number stagger,positif
late father oversaw logist intern rescu oper 1970 ancash earthquak 70k die int l militari airlift airdrop suppli recu worker way access explor angl,negatif
dutch research suggest indian subcontin next line,neutral
time one heart,neutral
surpris grow anger turkey especi citizen told build earthquak proof time tell actual meet reg whether reg could withstand 7 8 magnitud,negatif
aerial view destruct caus multipl power earthquak turkey syria death count surpass 12 000,negatif
turkish celebr scholar region came help pakistan time flood summer 2022 pakistani scholar media celebr care go turkey contribut effort relief rescu,positif
addit humanitarian aid greec turkey due transfer a320 sx dvn flight aee4992 aee4996 schedul aee4998 aee4982,neutral
dear affect also badli affect seen u mention,positif
turkish woman hug woman offic indian armi give peck earthquak affect area turkey indian armi deploy disast relief team armi field hospit help victim earthquak,positif
everi member rescu team must get 2 3 month work paid therapi hero save live toll pay massiv recognis,positif
yesterday sent first grid innov purif system help sever shortag drink water disast area warm coat blanket sleep bag also way,positif
father tri break remov debri bare hand order search trap famili shout say someth girl make nois receiv repli,positif
money earn donat peopl turkey,neutral
unfortun 14 351 peopl lost live 63 794 peopl still injur also rescu team consist 115 688 peopl continu work field tirelessli,negatif
share messag,positif
look local turkish organ channel relief donat former doctor student colleagu recommend,positif
rare view greec wish could enjoy listen harrow report suffer neighbor turkey aid ration turk first syrian women children turn away,positif
thought go peopl cope terribl tragedi us send love support,positif
earthquak death surpass 19 000 survivor struggl stay warm fed,negatif
humanitarian aid republ reject turkey,negatif
look local turkish ngo channel donat reliabl trust organis ground spearhead civil rescu relief effort pleas consid donat,positif
send love strength team,positif
babi save rescu team,positif
rescuer pull 10 year old child rubbl 65 hour earthquak turkey hatay,neutral
turkish quak survivor face big freez car tent,positif
2 februari 9 2023 20 50 17134 peopl lost live 70347 peopl injur,negatif
turkey earthquak live updat break news coverag,neutral
uae aid plane airlift relief suppli quak affect peopl syria turkiy,positif
earthquak relief donat turkey syria today friday last day,positif
us announc usd 85 mn humanitarian aid earthquak hit turkey syria read stori,neutral
6 year old girl rescu rubbl indian team turkey gujarat tak,neutral
number peopl lost live increas 18 342 number peopl increas 74 242,negatif
capac govt donat pleas els keep silent super rich politician donat forc educ institut rais fund chain effect,positif
cat rescu rubbl rescuer sometim miracl happen,neutral
share photograph worth 10 like,positif
dear friend follow around world countri face huge disast caus one two earthquak 7 8 7 6 hit singl day among biggest deadliest one world sinc 1950,neutral
get well soon turkey written electr board istanbul airport,positif
jamaat prayer mosqu turkey earthquak,positif
faizan qureshi interview kamran ashraf bhat media cinema research istanbul detail interview current situat rescu oper carri devast area discuss full,neutral
shortag food basic amen post earthquak ndtv tanushre pandey report ground zero kahramanmara,neutral
thank world,positif
match stand turkey time crisi heart go affect recent earthquak let support heroic effort respond make differ donat,neutral
born live miracl rescu 2 year old found aliv rubbl turkey via,neutral
pictur earth show earthquak occur today,positif
help turkey earthquak disast occur turkey urgent lack tent support countri pleas support turkey tent help turkey,positif
thank rafael mean lot,positif
pray turkiy syria lebanon,positif
chines rescu dog team turkey rescu,positif
pregnant woman trap rubbl rescu 115 hour nurda district southern gaziantep provinc,positif
care compass human,negatif
turkey stop contractor build collaps due earthquak tri travel,negatif
still shock realli need,positif
magnitud disast beyond imagin southeast part turkey sent today dog cat food 1st help anim need see els upcom day,positif
allah test love,positif
lot back n forth relief good perhap would better help citizen say,negatif
death toll tragic earthquak turkiy surpass 20 000,negatif
safe app donat quak hit area drink water instant can food babi diaper feminin hygien product especi report need whatev pitch much good,positif
humanitarian suppli sent embassi turkey georgia parliament georgia continu support earthquak victim stand turkey,positif
dog cat lost owner earthquak turkey found insepar,positif
info yet indian trap earthquak hit turkey say envoy,negatif
seek help save live impact earthquak turkey syria donat visi,neutral
citizen caught car second earthquak turkey,neutral
scari go tri pass time,positif
brave daughter two nation nasreen 13 year young came debri 72 hour lost 3 member famili pose doctor maj beena tiwari indian armi 60 para field hospit iskenderun,negatif
heart goe peopl turkey devast earthquak stand turkish nation difficult time pray quick recoveri affect peopl pakistan,positif
help needi peopl turkiy onlin donat visit gnrf garib nawaz relief,positif
pakistani govern dispatch anoth shipment relief good turkey,neutral
donat turkey,positif
everton footbal club liverpool footbal club come togeth support victim devast earthquak turkey syria,neutral
us eu elit alway promis back never,neutral
09 02 23 mani nation direct search rescu team turkey sourc spokesp,neutral
miracl babi pull rubbl 6th day rescu oper turkey 7 8 7 6 twin earthquak hit countri,positif
ukrainian presid volodymyr zelenski visit embassi republ turkey ukrain paid tribut victim earthquak turkey,positif
let help togeth peopl difficult situat earthquak send aid crypto link necessari inform,positif
indian nation went miss massiv found dead rubbl,negatif
heartfelt condol prayer famili victim,positif
turkey syria earthquak death toll reach 23 700,negatif
almost die rescu effort thank good good hero,positif
sorri sorri pleas forgiv fault brother tri save three,positif
latest death toll week earthquak pass 25 000 accord data countri video,negatif
donat,neutral
earthquak rescu slow turkey hope find peopl aliv fade,negatif
anonym businessman pakistan donat 30m earthquak victim turkey syria,negatif
7 8 magnitud earthquak rock turkey syria kill least 25 000,neutral
c 17 globemast aircraft indian air forc left turkey syria relief materi,positif
nahar volunt ground turkey distribut emerg food water medicin pleas donat gener,positif
child surviv 5 day 120 hour without breastf,neutral
turkey lof money erdogan must help peopl,positif
break 2 month old infant rescu aliv turkey 3 day buri rubbl,neutral
turkey earthquak 2023,neutral
emerg appeal may allah bless accept,positif
turkish peopl stay strong,positif
drone china use save peopl life west countri use kill peopl,neutral
pleas someon explain miracl kid manag surviv 130 hour without water food cold weather,positif
ministri trade director gener custom turkey confin good sent foreign nation use affect area eq exempt custom duti provid sent gov institut public interest organ tax exempt org,positif
let world know syrian die twice rubbl earthquak rule assad let histori write unit nation human right turn blind eye suffer syrian,negatif
help brother sister like one bodi one part bodi hurt feel,positif
dog say put damn camera help us,positif
turkey earthquak,neutral
earthquak death toll surpass 28 000 turkey syria,negatif
turkey syria rescu continu death toll near 26 000 salut peopl work continu rescu peopl rubbl whole world pray may allah w help turkish syrian peopl,positif
life dead place memori live,negatif
heart continu ach horrif tragedi unfold deadli earthquak turkey syria,negatif
drone china provid light rescu scene cr logo,positif
alway brother,positif
world wake turkish barbar state enough enough,negatif
pleas donat,positif
turkey quak presid erdogan accept problem respons,neutral
addit team rescuer land turkey morn brave harsh freez weather condit wast time alreadi begun crucial task,positif
sri lankan femal die earthquak turkey identifi,neutral
toll cross 28 000,neutral
extend deepest sympathi peopl turkey affect devast earthquak thought prayer difficult time,negatif
prayer turkey syria earthquak victim,positif
global updat turkey crack develop build toppl earthquak,neutral
refus come hijab,positif
death toll rise 33 179 29 605 3 574 earthquak shown import decentralis disast manag central plan odisha implement decentralis cyclon respons plan work well,negatif
pakistan armi sar team continu rescu oper turkey great job turkish brother,positif
noth go alway someth go crazi world,negatif
heartbroken hear devast earthquak turkey send love support affect stay strong,positif
turkey arrest build contractor earthquak death toll pass 33 000 via,negatif
break news earthquak magnitud 4 7 occur 24 km south south east sse kahramanmara turkey usg earthquak,negatif
within next 42hr christian atsu locat,neutral
anonym pakistani donor donat 30 million victim,neutral
word describ much broken depress hard handl wholeheart,negatif
earthquak magnitud 4 7 strike turkey,negatif
help turkey syrian earthquak imedi appeal paypal fundrais everi littl bit help,positif
widespread influenc earthquak turkey heartbreak see prayer affect,negatif
earthquak victim turkey syria need help donat red cross canada,positif
turkey syria earthquak death toll surpass 33 000,neutral
turkey earthquak buri aliv newborn son,positif
littl girl rescu rubbl 150 hour turkish health ministri,positif
one week fight rubl greek rescu team return home last night one state would done countri left back legaci solidar love year come,positif
pray turkiy syria,positif
miracul rescu two month old babi rescu rubbl collaps build 128 hour 5 day turkey babi surviv deadli disast immedi taken hospit medic check wish good health,positif
sadaqa life let sadaqa ul fitr heal wound brother,negatif
death toll turkey syria earthquak rose 33 179 92 600 injur,neutral
russian militari activ help syria hit terribl earthquak,positif
pray turkey syria,positif
turkey quak justic offici investig build contractor,positif
29500 die highli affect 2 mass grave 6000 bodi buri till mani debri let pray,negatif
5 year old stuck rubbl 5 day ask feel hungri thirsti rubbl repli person white cloth would come occasion feed give water,neutral
pray turkey,positif
fed angel babi surviv 128 hr rubbl turkey,positif
video taken moment earthquak turkey,negatif
one minut silenc earthquak victim turkey syria pakistan rememb,negatif
govt turkiy request pakistan send aid quak victim,positif
heartbreak news come turkey major earthquak strike countri send love support affect tragedi stay safe everyon,negatif
one greatest rescu mission done pakistani arm forc,positif
earthquak turkey brought uncertainti passag across strait may affect price trend bulk commod stabl oper intern industri chain suppli chain,negatif
experienc disast,negatif
donat particip earthquak aid campaign afad foreign bank account,neutral
miracul rescu 5 year old ara 105 hour buri rubbl devast earthquak turkey,positif
bodi uttarakhand person brought state turkey cremat,neutral
miracl rescu 10 year girl 13 year boy two women save 183 hour turkey,positif
young girl rescu rubbl turkey 178 hour quak,positif
send anoth aid consign quak hit turkey death toll top 35 000,negatif
courag salut report,positif
everi nation busi help shout forget anoth countri ala world selfish,negatif
turkey syria earthquak rescu oper enter final phase pray wholeheartedli survivor everyon affect earthquak,positif
testament peopl turkey syria work tirelessli everi minut save live,positif
tragedi end tearsnupd death toll earthquak goe past 37 000,negatif
sister child lost mother,negatif
35 k peopl die far turkey massiv natur disast rest peac depart soul,neutral
worker taken hell,negatif
devast earthquak strike turkey syria leav trail destruct loss,negatif
turkish girl save spend 178 hour rubbl,positif
dear world syrian turkish need help help msf unicef wfp other provid food,positif
look expert field crisi manag disast recoveri support us time need will share us expertis pleas dm us detail pleas connect,positif
anonym walk turkish embassi us donat 30 million earthquak survivor,positif
15 year old syrian girl 65 year old father pull aliv rubbl turkey antakya trap nearli 9 day,negatif
slew fake campaign scam peopl ask donat help victim turkey syria full bulletin,negatif
tale two presid one cri one laugh,negatif
cat hug dog earthquak turkey save debri,positif
heart impact devast earthquak turkey challeng time crucial support one anoth binari studio proud help 7 famili affect disast,negatif
recent left thousand peopl need basic necess includ cloth bless opportun pack donat cloth sleep bag affect disast,positif
turkey presid respons,positif
thought prayer turkey,positif
turkey reduc popul densiti capit reduc loss,negatif
turkey earthquak live rescu oper,positif
big respect two turkish nurs earthquak stay strong care new born babi save,positif
scammer profit turkey syria earthquak visit,positif
turkey earthquak heartbreak aerial footag,negatif
big salut rescuer doctor volunt real hero,positif
situat crise dog alway give peopl lesson loyal dog tri save nanni teach us import lesson life unpredict noth perman humbl respect kind,positif
shame atleast think post advertis disast,negatif
m7 8 earthquak turkey syria work natur,negatif
earthquak rkiy left million peopl homeless dire need nourish help share resourc amount go long way,positif
24 hour 10 countri withdrew ambassador epicent line thousand earthquak turkish secret servic investig possibl crimin intervent,negatif
month back reject wheat say bad qualiti today eat total free,negatif
muslim earthquak woken made start pray salah miss point,positif
help turkey,positif
would help die children turkey,negatif
worri everyth go fine time heal,negatif
may allah help earthquak victim turkey syria bestow special merci,positif
turkiy rise help allah,positif
pm shahbaz sharif leav quak stricken rkiy two day visit,negatif
rich contin team stand earthquak victim set wallet help famili damag homeless earthquak donat collect transfer non government organ,positif
natur bird give danger bell,negatif
realli shame us children wish die get relief cold anyth pleas help,positif
sanjay gupta ride helicopt deliv aid turkey earthquak,negatif
india send lesser aid syria turkey,negatif
heart goe peopl turkey,negatif
may angel never go far involv turkey disast amin,negatif
killer compani cengiz hold donat turkey read,negatif
allah,negatif
peopl still aliv crumbl build pleas pleas pleas send drone send dog send machin pleas send,positif
everyon donat think turkey forget syria,negatif
turkey death toll exce 42 000,negatif
baghdad sent three new relief plane friday gaziantep turkey follow devast earthquak 6 februari iraqi premier muhammad al sudani vow keep send aid turkey syria,negatif
al mustafa hospit thalassemia unit requir blood donat retain live special kid,positif
prime minist meet earthquak victim adiyaman,negatif
wish photo made artifici intellig ten citi turkey current experienc realiti,positif
human embrac,negatif
numb eye frozen singl tear fallen tear flow inward burn chest rib mind process tragedi 10 day,negatif
return rescu search oper turkish peopl greet,positif
loss life properti turkiy syria truli devast help griev peopl donat prime minist relief fund bank punjab,negatif
turkey death toll rise 39 000 earthquak,negatif
thank memor moment share us sorri tragic end good heart,positif
lifeless bodi christian atsu found rubbl condol famili love one,positif
rip legend,negatif
thought prayer atsu famili friend,positif
honor sudanes rescu team hous consul turkey particip chairman board director novella compani,positif
antakya,negatif
tribut pour news ex chelsea newcastl player tragic demis,negatif
goal sad day,negatif
memori die earthquak,negatif
ghana christian atsu found dead turkey earthquak,negatif
tragic loss footbal world ghanaian player christian atsu found dead rubbl turkey earthquak,negatif
let stand togeth support difficult period stay strong take care,positif
13 day 296 hour devast earthquak turkey rescuer continu find peopl aliv search rubbl absolut miracul,negatif
may allah swt grant deceas earthquak jannatul firdaw number look like exceed 50 000 inna lilah wa ina ilayhi raji un,positif
subhan allah syrian brother rescu 13 day rubbl water first request may allah help,positif
christian atsu famili newcastl unit game brought tear 2 think famili friend teammat difficult time,positif
wan na cri thought dead also thought famili make listen convers brother,negatif
death toll rise 40 642 author time rescuer continu get peopl rubbl manag get 45 year old man aliv spent 278 hour heap concret 11 day,negatif
41000 dead respons need held account,negatif
word big enough describ grief pain cri father found children cloth rubbl earthquak,negatif
much love turkey,positif
rest peac champ,positif
dutch research predict would hit region highlight almost exact precis epicent quak would soon strike,negatif
rip hero,negatif
rip christian atsu 31 year old,negatif
love air,positif
earthquak death toll surpass 46 000 syria turkey via,negatif
dad reunit 4 year old daughter separ,negatif
true exampl pet choos parent,positif
ghananian found dead rubbl home almost 2 week earthquak previous play newcastl allah belong return,negatif
rip atsu rest peac,positif
bless,positif
turkiy syriya need prayer eshel murad,negatif
deploy sever captur imag quak hit area help countri better analyz situat alloc relief resourc accord industri newspap china news,positif
heartbreak,negatif
46 000 peopl kill earthquak struck rkiy syria toll expect soar 264 000 apart rkiy destroy mani still miss countri worst modern disast,negatif
